Account,Token Account,Quantity,Percentage
ByiAbN9MJhfQKGK5WJrfgko6XS88qqERQVRLWZTsvyTf,HAxYH1JBerra5eSQhex8VogE2ha6ZkzH88sLRsBVa83b,1265952.504076,0.13
Et32cCBLRpiP6aLTWFmBVgpVMHkFc2mSKDao1wgTbaVv,7Hi3QHB1piYb7i3tK4UQT7J3cGC8wfpf9RviLovMV9Rq,1256152.404904,0.13
D5jx4wmxuPz18hqmgpCMLGVq3uSksCafCp5xjVe1nw8p,7V1XVhESUXrNhPJW5mcFkXTW34rUX32phyr8dCLFux9n,1251930.405314,0.13
Gry8n3nmrwaiHPT1bTm8Be5Zq8hvsrN7VtJNFj3X4Q35,8kaonm9QEmRbT33xU3mJEEAd6GXiyRXuDwif2T2ydXBL,1250000.484334,0.13
58LhzvNQ7s8Ek63XndnRTGGG4rctkFNKNcCwroAjNpux,BLXcj4hSoXPqMAvdSqtkUcFNBTvqM5EwMQufSSGQX22F,1250000,0.13
f3hSrpPhMVLLfu3hmspHJTUocXzGrWJhhw1riKM8V47,3JfunSV72huj4gTwDYpBwzj16SCgTWiLdKdXhN8BZb8L,1217350,0.12
DuUNi4qZSmkbSCMpskSegVMi5kzN9S5sFPp2ufkgMVLQ,8VrrH58VjjVXqFyZqWAxeZrwbw3FBkJUQbEntR6vF7vU,1195847.71384,0.12
3Fw4KDresTNB1GrwA8TAH8PMnjjDyZFT8xh2jnzD8oMe,AsQjaZVHukz5Xpkb6fnuHf9RCn7vPAhTAhTqQUKrtGXm,1189275.508332,0.12
BhEYTpAdH6KsP4TnCinrt421ogRwGoRUuCm6EpuYmFAV,5dx9hwmoEesWLD3eFFK5fM15vB3WQzpppGsDHjSigvFR,1182553.833002,0.12
25mYnjJ2MXHZH6NvTTdA63JvjgRVcuiaj6MRiEQNs1Dq,EC9iMf1R3jZaB6gKFU4UmR5VPJ67jNWjq2Y6avNkbkzs,1163331.129401,0.12
7iTLzwWp4cUq2CBXB2kPCxWw3qZ6NGQCP6QG7tZuCW8E,CBbE7SqcYgMJzCoU8Jf8ZmV3dbmjkBnkQYamDGcJuvtk,1136087.91827,0.11
Gb4e75w4BKWej957ZUyjv94mqRJSbhZ1RoQgaDCCW4D6,SRPEDa7hoERz8XC96zcko8Ws1ybLoCKsxsTDZh5CpeY,1129952.183063,0.11
3Vd3cZSddR3ehLUeSY4dh7U1nq3LbkCrNZxzKesK281Y,CY6tqwf4vrgyCZxC1bjYaTNegqQUGoiWSkhe8cEtES9o,1123334.120828,0.11
